ID,Name,Tactic,Level,IEL,Description,Examples,Skills Needed to Use
T1001,Data Obfuscation,Command and Control,1 Public,1,"When choosing a C2 method, there are many public obfuscation capabilities.",Meterpreter HTTP comms,basic cli
T1001,Data Obfuscation,Command and Control,2 Altered,2,Modifying a public data obfuscation method would require knowledge of the underlying protocol and implementation,,
T1001,Data Obfuscation,Command and Control,3 Bespoke,4,Creating a custom obfuscation requires high level of knowledge about the target environment,"https://research.checkpoint.com/2021/irans-apt34-returns-with-an-updated-arsenal/,https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/",
T1003,OS Credential Dumping,Credential Access,1 Public,1,Public tools exist to dump credentaisl from os assuming you have the right privileges,https://attack.mitre.org/software/S0002/,Requires CLI use
T1003,OS Credential Dumping,Credential Access,2 Altered,2,Embedding pieces of mimikatz code as a plugin in another tool,,
T1003,OS Credential Dumping,Credential Access,3 Bespoke,3,Writing custom code that manipulates APIs to read the data,,
T1005,Data from Local System,Collection,1 Public,0,Known commands that are suspicious,,Copy / paste
T1005,Data from Local System,Collection,2 Altered,1,Any OS command that copies data from one place to another,,cli knowledge
T1005,Data from Local System,Collection,3 Bespoke,2,Commands that mimic target backup strategies,,
T1006,Direct Volume Access,Defense Evasion,1 Public,1,Using example strings to activate lolbin,https://lolbas-project.github.io/lolbas/Binaries/Esentutl/,Need to know about when to use this
T1006,Direct Volume Access,Defense Evasion,2 Altered,2,Modifying the command to copy in a slightly different way,,
T1006,Direct Volume Access,Defense Evasion,3 Bespoke,3,Custom malware that can access the driver,https://www.microsoft.com/en-us/security/blog/2023/10/25/octo-tempest-crosses-boundaries-to-facilitate-extortion-encryption-and-destruction/,
T1007,System Service Discovery,Discovery,1 Public,0,`sc query` or similar commands,,
T1007,System Service Discovery,Discovery,2 Altered,1,Slightly different commands,,
T1007,System Service Discovery,Discovery,3 Bespoke,2,Malware that can call functions directly,https://s7d2.scene7.com/is/content/cylance/prod/cylance-web/en-us/resources/knowledge-center/resource-library/reports/Op_Dust_Storm_Report.pdf,
T1008,Fallback Channels,Command and Control,1 Public,2,Something like a hardcoded secondary domain,https://vblocalhost.com/uploads/VB2021-Kayal-etal.pdf,
T1008,Fallback Channels,Command and Control,2 Altered,3,DNS Tunneling with your own domain,https://researchcenter.paloaltonetworks.com/2017/07/unit42-oilrig-uses-ismdoor-variant-possibly-linked-greenbug-threat-group/,
T1008,Fallback Channels,Command and Control,3 Bespoke,4,Company extranet servers,https://scadahacker.com/library/Documents/Cyber_Events/McAfee%20-%20Night%20Dragon%20-%20Global%20Energy%20Cyberattacks.pdf,High degree of intelligence and network mapping needing to know about the specific systems and compromise them
T1010,Application Window Discovery,Discovery,1 Public,1,Get-Process mainWindowTitle,,
T1010,Application Window Discovery,Discovery,2 Altered,2,GetForegroundWindow,,
T1010,Application Window Discovery,Discovery,3 Bespoke,3,Memory access,,
T1011,Exfiltration Over Other Network Medium,Exfiltration,1 Public,3,Known protocol like wifi network,,Requires proximity
T1011,Exfiltration Over Other Network Medium,Exfiltration,2 Altered,4,Known protocol with environment-alteration,,Requires proximity
T1011,Exfiltration Over Other Network Medium,Exfiltration,3 Bespoke,5,Custom-developed medium,,"Requires proximity, signal development"
T1012,Query Registry,Discovery,1 Public,0,reg.exe,https://www.welivesecurity.com/2019/05/22/journey-zebrocy-land/,
T1012,Query Registry,Discovery,2 Altered,2,Use Windows APIs,https://us-cert.cisa.gov/ncas/analysis-reports/ar20-216a,
T1012,Query Registry,Discovery,3 Bespoke,3,Directly access registry hives,,
T1014,Rootkit,Defense Evasion,1 Public,2,Setting environment variables to hook the dynamic linker,https://www.welivesecurity.com/2017/10/30/windigo-ebury-update-2/,
T1014,Rootkit,Defense Evasion,2 Altered,3,Custom malicious driver,"https://www.theregister.com/2020/08/07/def_con_demirkapi/,https://www.cyberark.com/resources/threat-research-blog/fantastic-rootkits-and-where-to-find-them-part-1",
T1014,Rootkit,Defense Evasion,3 Bespoke,4,Custom rootkit kernel module,https://media.defense.gov/2020/Aug/13/2002476465/-1/-1/0/CSA_DROVORUB_RUSSIAN_GRU_MALWARE_AUG_2020.PDF,
T1016,System Network Configuration Discovery,Discovery,1 Public,0,CLI tools like ipconfig or Get-NetIPConfiguration,https://s7d2.scene7.com/is/content/cylance/prod/cylance-web/en-us/resources/knowledge-center/resource-library/reports/Op_Dust_Storm_Report.pdf,
T1016,System Network Configuration Discovery,Discovery,2 Altered,2,Calling API commands,https://www.cybereason.com/blog/royal-ransomware-analysis,
T1016,System Network Configuration Discovery,Discovery,3 Bespoke,3,Look for network configuration stored in environment-specific way,,
T1018,Remote System Discovery,Discovery,1 Public,1,CLI tools like show arp or ping,,Requires a bit of networking knowledge
T1018,Remote System Discovery,Discovery,2 Altered,2,Looking at persistent connections,,
T1018,Remote System Discovery,Discovery,3 Bespoke,3,Analyzing environment-specific applications to see what they communicate with,,
T1020,Automated Exfiltration,Exfiltration,1 Public,1,Meterpreter scripted upload,,
T1020,Automated Exfiltration,Exfiltration,2 Altered,2,Changing the script,,
T1020,Automated Exfiltration,Exfiltration,3 Bespoke,3,Custom search method,,
T1021,Remote Services,Lateral Movement,1 Public,0,Metasploit winrm login module,https://github.com/rapid7/metasploit-framework/blob/master/documentation/modules/exploit/windows/winrm/winrm_script_exec.md,Not an exploit or how you got the account
T1021,Remote Services,Lateral Movement,2 Altered,1,Manually calling RDP from command line,,
T1021,Remote Services,Lateral Movement,3 Bespoke,2,Custom tool for creating remote connections,https://securelist.com/apt-style-bank-robberies-increase-with-metel-gcman-and-carbanak-2-0-attacks/73638/,
T1025,Data from Removable Media,Collection,1 Public,0,Known commands that are suspicious,,
T1025,Data from Removable Media,Collection,2 Altered,1,Any OS command that copies data from one place to another,https://unit42.paloaltonetworks.com/unit-42-title-gamaredon-group-toolset-evolution/,
T1025,Data from Removable Media,Collection,3 Bespoke,2,Commands that mimic target backup strategies,,
T1027,Obfuscated Files or Information,Defense Evasion,1 Public,1,base64 encoding,https://www.malwarebytes.com/blog/news/2021/12/sidecopy-apt-connecting-lures-to-victims-payloads-to-infrastructure,
T1027,Obfuscated Files or Information,Defense Evasion,2 Altered,2,Multilayer encoding,https://www.mcafee.com/enterprise/en-us/assets/reports/rp-cuba-ransomware.pdf,
T1027,Obfuscated Files or Information,Defense Evasion,3 Bespoke,3,Embedding malware in legitimate application,https://www.welivesecurity.com/wp-content/uploads/2017/06/Win32_Industroyer.pdf,
T1029,Scheduled Transfer,Exfiltration,1 Public,2,Powershell empire lets you schedule file upload chunks,,
T1029,Scheduled Transfer,Exfiltration,2 Altered,3,Randomizing upload or setting work hours,https://web-assets.esetstatic.com/wls/2020/05/ESET_Turla_ComRAT.pdf,
T1029,Scheduled Transfer,Exfiltration,3 Bespoke,4,Upload based on target environment data usage,,
T1030,Data Transfer Size Limits,Exfiltration,1 Public,2,Cobalt strike uploads 512KB chunks each time,https://web.archive.org/web/20210825130434/https://cobaltstrike.com/downloads/csmanual38.pdf,
T1030,Data Transfer Size Limits,Exfiltration,2 Altered,3,Setting specific limit based on c2 traffic profile,,
T1030,Data Transfer Size Limits,Exfiltration,3 Bespoke,4,Upload based on target environment data usage,,
T1033,System Owner/User Discovery,Discovery,1 Public,0,macOS `dscl . list /Users | grep -v '_' `,,
T1033,System Owner/User Discovery,Discovery,2 Altered,1,Read environment variables,,
T1033,System Owner/User Discovery,Discovery,3 Bespoke,2,Custom function calling getlogin() or similar,,
T1036,Masquerading,Defense Evasion,1 Public,0,Rename payload `PowerShellInfo.exe`,https://www.secureworks.com/research/darktortilla-malware-analysis,
T1036,Masquerading,Defense Evasion,2 Altered,1,Renaming payload to something else,,
T1036,Masquerading,Defense Evasion,3 Bespoke,2,Matching filenames on the compromised system,https://www.crowdstrike.com/blog/observations-from-the-stellarparticle-campaign/,
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",1 Public,1,HKCU\Environment\UserInitMprLogonScript,https://blog.morphisec.com/cobalt-gang-2.0,
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",2 Altered,2,Custom init.d script,,
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation",3 Bespoke,3,Hooking a target-specific application,https://www.mandiant.com/resources/blog/unc3524-eye-spy-email,
T1039,Data from Network Shared Drive,Collection,1 Public,0,Known commands that are suspicious,,
T1039,Data from Network Shared Drive,Collection,2 Altered,1,Any OS command that copies data from one place to another,https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-259a,
T1039,Data from Network Shared Drive,Collection,3 Bespoke,2,Commands that mimic target backup strategies,,
T1040,Network Sniffing,"Credential Access, Discovery",1 Public,1,tcpdump,,
T1040,Network Sniffing,"Credential Access, Discovery",2 Altered,2,Hook network APIs,https://blog.trendmicro.com/trendlabs-security-intelligence/new-banking-malware-uses-network-sniffing-for-data-theft/,
T1040,Network Sniffing,"Credential Access, Discovery",3 Bespoke,4,Close access teams,https://www.justice.gov/archives/opa/page/file/1098481/dl,
T1041,Exfiltration Over C2 Channel,Exfiltration,1 Public,2,Transfer with open source method,,Scripting
T1041,Exfiltration Over C2 Channel,Exfiltration,2 Altered,3,Modified method transfer,,Programming
T1041,Exfiltration Over C2 Channel,Exfiltration,3 Bespoke,4,Target-specific exfiltration method,,"Programming, environment intelligence"
T1046,Network Service Discovery,Discovery,1 Public,1,nmap,https://nmap.org/,
T1046,Network Service Discovery,Discovery,2 Altered,2,Malware module for scanning,https://github.com/n1nj4sec/pupy,
T1046,Network Service Discovery,Discovery,3 Bespoke,3,Custom shell commands to initiate connections,,
T1047,Windows Management Instrumentation,Execution,1 Public,1,Public invokation of wmic.exe,https://www.microsoft.com/en-us/security/blog/2022/06/13/the-many-lives-of-blackcat-ransomware/,
T1047,Windows Management Instrumentation,Execution,2 Altered,2,Different way of calling wmic,https://www.welivesecurity.com/2022/03/01/isaacwiper-hermeticwizard-wiper-worm-targeting-ukraine/,
T1047,Windows Management Instrumentation,Execution,3 Bespoke,3,Unique way of calling WMI from APIs,https://techcommunity.microsoft.com/t5/windows-it-pro-blog/wmi-command-line-wmic-utility-deprecation-next-steps/ba-p/4039242,
T1048,Exfiltration Over Alternative Protocol,Exfiltration,1 Public,2,Transfer with open source method,https://o365blog.com/aadinternals,
T1048,Exfiltration Over Alternative Protocol,Exfiltration,2 Altered,3,Modified method transfer,,
T1048,Exfiltration Over Alternative Protocol,Exfiltration,3 Bespoke,4,Target-specific exfiltration method,,
T1049,System Network Connections Discovery,Discovery,1 Public,1,netstat,,
T1049,System Network Connections Discovery,Discovery,2 Altered,2,Discovery functions in malware,https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/w32_duqu_the_precursor_to_the_next_stuxnet.pdf,
T1049,System Network Connections Discovery,Discovery,3 Bespoke,3,Perform a novel kernel query to get information,,
T1052,Exfiltration Over Physical Medium,Exfiltration,1 Public,3,well-known file structure on medium,https://securelist.com/agent-btz-a-source-of-inspiration/58551/,"advanced scripting, physical access"
T1052,Exfiltration Over Physical Medium,Exfiltration,2 Altered,4,Custom file structure on medium,,"programming, physical access"
T1052,Exfiltration Over Physical Medium,Exfiltration,3 Bespoke,5,Target-specific exfiltration method,,"advanced programming, target information, physical access"
T1053,Scheduled Task/Job,"Execution, Persistence, Privilege Escalation",1 Public,1,Using well-known invocation,https://www.trendmicro.com/content/dam/trendmicro/global/en/research/22/a/earth-lusca-employs-sophisticated-infrastructure-varied-tools-and-techniques/technical-brief-delving-deep-an-analysis-of-earth-lusca-operations.pdf,
T1053,Scheduled Task/Job,"Execution, Persistence, Privilege Escalation",2 Altered,2,Creating your own invocation of scheduled task,,
T1053,Scheduled Task/Job,"Execution, Persistence, Privilege Escalation",3 Bespoke,3,Create a custom container than handles your scheduled task,,
T1055,Process Injection,"Defense Evasion, Privilege Escalation",1 Public,1,meterpreter migrate,,
T1055,Process Injection,"Defense Evasion, Privilege Escalation",2 Altered,2,Calling API functions,https://blog.malwarebytes.com/threat-analysis/2021/01/retrohunting-apt37-north-korean-apt-used-vba-self-decode-technique-to-inject-rokrat/,
T1055,Process Injection,"Defense Evasion, Privilege Escalation",3 Bespoke,3,Novel method of inserting code into a process,,
T1056,Input Capture,"Collection, Credential Access",1 Public,2,Meterpreter keyscanner,https://www.offsec.com/metasploit-unleashed/keylogging/,
T1056,Input Capture,"Collection, Credential Access",2 Altered,3,API Hooking,https://www.cybereason.com/hubfs/dam/collateral/reports/11-2020-Chaes-e-commerce-malware-research.pdf,
T1056,Input Capture,"Collection, Credential Access",3 Bespoke,4,Physical implant on a human interface device,,
T1057,Process Discovery,Discovery,1 Public,0,`Get-Process` or similar OS command,,
T1057,Process Discovery,Discovery,2 Altered,2,Malware module for scanning,https://www.fortinet.com/blog/threat-research/in-depth-analysis-of-net-malware-javaupdtr,
T1057,Process Discovery,Discovery,3 Bespoke,3,Perform a novel kernel query to get information,,
T1059,Command and Scripting Interpreter,Execution,1 Public,1,typing cli commands,,cli
T1059,Command and Scripting Interpreter,Execution,2 Altered,2,writing scripts,,scripting
T1059,Command and Scripting Interpreter,Execution,3 Bespoke,3,Novel scripting interpreter execution method,,
T1068,Exploitation for Privilege Escalation,Privilege Escalation,1 Public,2,Known exploits,,
T1068,Exploitation for Privilege Escalation,Privilege Escalation,2 Altered,3,Altered exploits,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,
T1068,Exploitation for Privilege Escalation,Privilege Escalation,3 Bespoke,4,Zero day exploits,,
T1069,Permission Groups Discovery,Discovery,1 Public,0,net group,https://web.archive.org/web/20170718174931/https://www.melani.admin.ch/dam/melani/de/dokumente/2016/technical%20report%20ruag.pdf.download.pdf/Report_Ruag-Espionage-Case.pdf,
T1069,Permission Groups Discovery,Discovery,2 Altered,2,Malware function for groups,https://cloud.google.com/blog/topics/threat-intelligence/suspected-chinese-espionage-group-targeting-maritime-and-engineering-industries/,
T1069,Permission Groups Discovery,Discovery,3 Bespoke,3,Novel access method for enumerating groups,,
T1070,Indicator Removal,Defense Evasion,1 Public,1,Clearing windows event logs with `wevtutil cl System`,https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/,
T1070,Indicator Removal,Defense Evasion,2 Altered,2,Clearing artifacts that specific malware writes,https://www.cybereason.com/blog/back-to-the-future-inside-the-kimsuky-kgh-spyware-suite,
T1070,Indicator Removal,Defense Evasion,3 Bespoke,3,Restoring kernel table state after exploit,https://blog.malwarebytes.com/threat-intelligence/2022/01/north-koreas-lazarus-apt-leverages-windows-update-client-github-in-latest-campaign/,
T1071,Application Layer Protocol,Command and Control,1 Public,1,Using something like http communications from open source library,,
T1071,Application Layer Protocol,Command and Control,2 Altered,2,Modified http communication process,,
T1071,Application Layer Protocol,Command and Control,3 Bespoke,3,Environment-specific protocol for C2,https://unit42.paloaltonetworks.com/lucifer-new-cryptojacking-and-ddos-hybrid-malware/,
T1072,Software Deployment Tools,"Execution, Lateral Movement",1 Public,3,Something like remoteexec,https://www.microsoft.com/en-us/security/blog/2022/10/14/new-prestige-ransomware-impacts-organizations-in-ukraine-and-poland/,
T1072,Software Deployment Tools,"Execution, Lateral Movement",2 Altered,4,Hijack group policy,,
T1072,Software Deployment Tools,"Execution, Lateral Movement",3 Bespoke,5,Compromise org-specific security tool,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,
T1074,Data Staged,Collection,1 Public,0,Copying data to /tmp,,
T1074,Data Staged,Collection,2 Altered,1,Copying data to C:\Users\Public,https://www.mandiant.com/resources/blog/updates-on-chinese-apt-compromising-pulse-secure-vpn-devices,
T1074,Data Staged,Collection,3 Bespoke,2,Using environment-specific data stores,,
T1078,Valid Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation",1 Public,0,admin/admin creds,,
T1078,Valid Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation",2 Altered,1,Brute force changed credentials,,
T1078,Valid Accounts,"Defense Evasion, Initial Access, Persistence, Privilege Escalation",3 Bespoke,1,Phsihing access to actual accounts,,
T1080,Taint Shared Content,Lateral Movement,1 Public,1,Known content infection method,,
T1080,Taint Shared Content,Lateral Movement,2 Altered,2,Customized content infection,https://www.secureworks.com/research/bronze-butler-targets-japanese-businesses,
T1080,Taint Shared Content,Lateral Movement,3 Bespoke,3,Target-specific method,https://www.wired.com/images_blogs/threatlevel/2011/02/Symantec-Stuxnet-Update-Feb-2011.pdf,
T1082,System Information Discovery,Discovery,1 Public,0,`systeminfo` OS command,https://www.trellix.com/blogs/research/akira-ransomware/,
T1082,System Information Discovery,Discovery,2 Altered,1,Query web APIs to determine attributes,https://unit42.paloaltonetworks.com/unit42-bisonal-malware-used-attacks-russia-south-korea/,
T1082,System Information Discovery,Discovery,3 Bespoke,3,"Profile file attributes (size, hash) on endpoint",,
T1083,File and Directory Discovery,Discovery,1 Public,0,dir /s,,
T1083,File and Directory Discovery,Discovery,2 Altered,2,Malware function for groups,https://www.forcepoint.com/sites/default/files/resources/files/forcepoint-security-labs-monsoon-analysis-report.pdf,
T1083,File and Directory Discovery,Discovery,3 Bespoke,3,Custom filesystem driver,,
T1087,Account Discovery,Discovery,1 Public,1,Account discovery commands associated with threat actor,,cli
T1087,Account Discovery,Discovery,2 Altered,2,Different account discovery commands,,
T1087,Account Discovery,Discovery,3 Bespoke,3,Target-specific account discovery,,
T1090,Proxy,Command and Control,1 Public,1,Use public SOCKS proxies,https://www.bitdefender.com/files/News/CaseStudies/study/394/Bitdefender-PR-Whitepaper-BADHATCH-creat5237-en-EN.pdf,
T1090,Proxy,Command and Control,2 Altered,2,Turn victim systems into proxies,https://www.us-cert.gov/sites/default/files/publications/MAR-10135536-F.pdf,
T1090,Proxy,Command and Control,3 Bespoke,4,Use public CDNs with custom configuration,https://www.mandiant.com/resources/apt41-us-state-governments,
T1091,Replication Through Removable Media,"Initial Access, Lateral Movement",1 Public,2,Known auto run malicious file,,
T1091,Replication Through Removable Media,"Initial Access, Lateral Movement",2 Altered,3,Modified auto run,https://www.avira.com/en/blog/new-wave-of-plugx-targets-hong-kong,"Programming, os knowledge"
T1091,Replication Through Removable Media,"Initial Access, Lateral Movement",3 Bespoke,4,Zero day removable device exploit,https://www.wired.com/images_blogs/threatlevel/2011/02/Symantec-Stuxnet-Update-Feb-2011.pdf,"OS internals, reverse engineering"
T1092,Communication Through Removable Media,Command and Control,1 Public,2,Open source software for communicating over mass storage devices,,
T1092,Communication Through Removable Media,Command and Control,2 Altered,3,Group-specific removeable media module,https://web.archive.org/web/20151022204649/https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf,
T1092,Communication Through Removable Media,Command and Control,3 Bespoke,4,Custom removable media,,advanced programming
T1095,Non-Application Layer Protocol,Command and Control,1 Public,1,Raw netcat shells,,
T1095,Non-Application Layer Protocol,Command and Control,2 Altered,2,ICMP to communicate,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,
T1095,Non-Application Layer Protocol,Command and Control,3 Bespoke,3,Custom TCP Protocol,https://www.proofpoint.com/sites/default/files/proofpoint-operation-transparent-tribe-threat-insight-en.pdf,
T1098,Account Manipulation,"Persistence, Privilege Escalation",1 Public,1,Known suspicious changes,https://www.us-cert.gov/ncas/alerts/TA18-074A,cli
T1098,Account Manipulation,"Persistence, Privilege Escalation",2 Altered,2,Different forms of changes,,
T1098,Account Manipulation,"Persistence, Privilege Escalation",3 Bespoke,3,Target-specific changes,,
T1102,Web Service,Command and Control,1 Public,2,Pastebin for c2,https://www.accenture.com/us-en/blogs/cyber-defense/turla-belugasturgeon-compromises-government-entity,
T1102,Web Service,Command and Control,2 Altered,3,Custom AWS resources,https://www.clearskysec.com/wp-content/uploads/2020/12/Pay2Kitten.pdf,
T1102,Web Service,Command and Control,3 Bespoke,4,Using legitimate chat software like teams or slack to match the target,https://unit42.paloaltonetworks.com/brute-ratel-c4-tool/,
T1104,Multi-Stage Channels,Command and Control,1 Public,1,meterpreter staged payload,,
T1104,Multi-Stage Channels,Command and Control,2 Altered,2,Multi-staged malware,https://blog.malwarebytes.com/threat-intelligence/2022/01/north-koreas-lazarus-apt-leverages-windows-update-client-github-in-latest-campaign/,
T1104,Multi-Stage Channels,Command and Control,3 Bespoke,3,Different communication channels for each stage,https://blog.morphisec.com/revealing-the-snip3-crypter-a-highly-evasive-rat-loader,
T1105,Ingress Tool Transfer,Command and Control,1 Public,1,Download via c2,,
T1105,Ingress Tool Transfer,Command and Control,2 Altered,2,Download via basic URL,,
T1105,Ingress Tool Transfer,Command and Control,3 Bespoke,3,Inject javascript onto websites to download payloads,https://www.volexity.com/blog/2017/11/06/oceanlotus-blossoms-mass-digital-surveillance-and-exploitation-of-asean-nations-the-media-human-rights-and-civil-society/,
T1106,Native API,Execution,1 Public,2,Using simple API calls to evoke shell commands,https://research.checkpoint.com/2020/naikon-apt-cyber-espionage-reloaded/,
T1106,Native API,Execution,2 Altered,3,Using API calls in a custom way,https://blogs.blackberry.com/en/2020/11/the-costaricto-campaign-cyber-espionage-outsourced,
T1106,Native API,Execution,3 Bespoke,4,Using advanced API calls to directly achieve objectives and/or blending in with native application,,
T1110,Brute Force,Credential Access,1 Public,1,Using known word lists,,scripting
T1110,Brute Force,Credential Access,2 Altered,2,Using modified word list,,
T1110,Brute Force,Credential Access,3 Bespoke,3,Massive cracking power,https://attack.mitre.org/docs/APT3_Adversary_Emulation_Plan.pdf,extreme level of compute
T1111,Multi-Factor Authentication Interception,Credential Access,1 Public,2,Replay old tokens hoping for approval,https://www.microsoft.com/security/blog/2022/03/22/dev-0537-criminal-actor-targeting-organizations-for-data-exfiltration-and-destruction/,
T1111,Multi-Factor Authentication Interception,Credential Access,2 Altered,3,Register alternate phone numbers for compromised users,https://research.nccgroup.com/2021/01/12/abusing-cloud-services-to-fly-under-the-radar/,
T1111,Multi-Factor Authentication Interception,Credential Access,3 Bespoke,4,Custom collection to intercept soft tokens,https://www.fox-it.com/media/kadlze5c/201912_report_operation_wocao.pdf,
T1112,Modify Registry,Defense Evasion,1 Public,0,Use cli tools to edit,https://www.trendmicro.com/content/dam/trendmicro/global/en/research/22/a/earth-lusca-employs-sophisticated-infrastructure-varied-tools-and-techniques/technical-brief-delving-deep-an-analysis-of-earth-lusca-operations.pdf,
T1112,Modify Registry,Defense Evasion,2 Altered,1,Using APIs to edit,,
T1112,Modify Registry,Defense Evasion,3 Bespoke,2,Using direct file access to edit,,
T1113,Screen Capture,Collection,1 Public,2,Metasploit Screenspy,https://github.com/rapid7/metasploit-framework/blob/master/documentation/modules/post/windows/gather/screen_spy.md,
T1113,Screen Capture,Collection,2 Altered,3,Plugin to capture screenshots,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Attor.pdf,
T1113,Screen Capture,Collection,3 Bespoke,4,Custom tool that matches hash of known file,https://www.us-cert.gov/ncas/alerts/TA18-074A,
